Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:08:30:14.506,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1904454827,0.0833763704,0.1485147774,0.0000000000,0.0000000000,0.0116246399,0.0000000000,0.1907484531,0.0833754912,0.1485429704,0.0053189443,0.0000000000,0.0000000000,0.0118589913,0.0115204621,0.0075391587,0.0092621138,0.0000000000,0.0112598687,0.0896299034,0.0998184159,0.0000000000,0.0000000000,0.0276715327,0.0320027806,0.0188965183,0.0257868152,0.0091689769,0.0103213983,0.0275141466,0.0122934151,0.0203811452,0.0185328331,0.0117890984,0.0112676639,0.0045641819,0.0053609684,0.0000000000,0.0000000000,0.0146666141,0.0000000000,0.0000000000,0.0043358202,0.0279447380,0.0306123979,0.0276590101,0.0349657573,0.0000000000,0.0970303640,0.0532480925,-0.1004495099,-0.0068810210,-0.1416973919,0.0026508116,-0.0092710070,-0.1416962892,-0.0073240781
20:08:30:15.507,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2008109391,0.0825631544,0.1621538699,0.0000000000,0.0000000000,0.0047173831,0.0000000000,0.2011798024,0.0825621188,0.1621710509,0.0055027939,0.0000000000,0.0000000000,0.0120884180,0.0116908737,0.0075759860,0.0092908321,0.0000000000,0.0104918629,0.0885300711,0.0974882692,0.0000000000,0.0000000000,0.0278112534,0.0320457220,0.0192559343,0.0259221178,0.0092825675,0.0104486449,0.0274337195,0.0122560449,0.0203181822,0.0184312556,0.0118791843,0.0113302330,0.0044492376,0.0052048108,0.0000000000,0.0000000000,0.0154011454,0.0000000000,0.0000000000,0.0045022438,0.0272976290,0.0298557505,0.0270031840,0.0342098884,0.0000000000,0.0970006585,0.0527919531,-0.1000069156,-0.0027703121,-0.1462429464,0.0023875432,-0.0052771345,-0.1462417990,-0.0078937020
20:08:30:16.509,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2024061531,0.0823659971,0.1754876226,0.0000000000,0.0000000000,0.0005310948,0.0000000000,0.2028121203,0.0823642388,0.1754932702,0.0056747030,0.0000000000,0.0000000000,0.0122457668,0.0118038980,0.0075875446,0.0092591746,0.0000000000,0.0098889815,0.0864463821,0.0930397287,0.0000000000,0.0000000000,0.0278127361,0.0319475196,0.0195576306,0.0260324832,0.0093630515,0.0105159562,0.0273423512,0.0122486306,0.0201944038,0.0182845518,0.0119228372,0.0113508841,0.0043297387,0.0050443872,0.0000000000,0.0000000000,0.0158370025,0.0000000000,0.0000000000,0.0046841558,0.0266644116,0.0291419700,0.0263275839,0.0334389396,0.0000000000,0.0969231278,0.0527300388,-0.1000956967,-0.0002830792,-0.1469517350,0.0021792962,-0.0027837530,-0.1469505131,-0.0081514660
20:08:30:17.511,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1964860260,0.0821389332,0.1822737753,0.0000000000,0.0000000000,0.0022561222,0.0000000000,0.1968705654,0.0821366757,0.1822747290,0.0058523538,0.0000000000,0.0000000000,0.0124092409,0.0119298687,0.0076088049,0.0091971382,0.0000000000,0.0093700355,0.0853991136,0.0912698731,0.0000000000,0.0000000000,0.0278534349,0.0319024511,0.0198834352,0.0261968803,0.0094429441,0.0106047178,0.0271763522,0.0121636270,0.0200716332,0.0181466825,0.0119940573,0.0113960793,0.0042147567,0.0048914445,0.0000000000,0.0000000000,0.0162090324,0.0000000000,0.0000000000,0.0048707495,0.0260814968,0.0285101440,0.0257256795,0.0327722095,0.0000000000,0.0967636704,0.0528037474,-0.1002245694,-0.0013111420,-0.1443603039,0.0022288868,-0.0037329458,-0.1443591416,-0.0079282317
20:08:30:18.512,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1920786947,0.0814661831,0.1847411245,0.0000000000,0.0000000000,0.0030791839,0.0000000000,0.1924513280,0.0814638436,0.1847405583,0.0059761708,0.0000000000,0.0000000000,0.0125400862,0.0120241391,0.0076001673,0.0091423150,0.0000000000,0.0087814853,0.0847311169,0.0902850330,0.0000000000,0.0000000000,0.0278453492,0.0318073556,0.0201299321,0.0262616780,0.0094735054,0.0106478250,0.0269721169,0.0120530780,0.0198900159,0.0179503914,0.0120271239,0.0114051076,0.0041075293,0.0047503342,0.0000000000,0.0000000000,0.0165916905,0.0000000000,0.0000000000,0.0049718684,0.0254910123,0.0278854482,0.0251051635,0.0320917964,0.0000000000,0.0961021408,0.0528790355,-0.1005236879,-0.0018027499,-0.1424324661,0.0022393125,-0.0041761808,-0.1424313337,-0.0077874926
20:08:30:19.514,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1913306564,0.0807166621,0.1849104166,0.0000000000,0.0000000000,0.0037214847,0.0000000000,0.1916971356,0.0807145163,0.1849119514,0.0060967403,0.0000000000,0.0000000000,0.0126790330,0.0121326949,0.0076207607,0.0090996055,0.0000000000,0.0082754605,0.0843391716,0.0898548439,0.0000000000,0.0000000000,0.0278944876,0.0317889191,0.0204222649,0.0263972934,0.0095333280,0.0106984675,0.0268813837,0.0120088067,0.0197819062,0.0178214908,0.0120817227,0.0114382105,0.0040287804,0.0046446677,0.0000000000,0.0000000000,0.0171060376,0.0000000000,0.0000000000,0.0050713290,0.0250019785,0.0273812022,0.0246112160,0.0315828286,0.0000000000,0.0959776416,0.0524174944,-0.1008830890,-0.0021848120,-0.1421038806,0.0022659069,-0.0045671426,-0.1421027482,-0.0077372869
20:08:30:20.515,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1920734048,0.0794794932,0.1846040487,0.0000000000,0.0000000000,0.0050221174,0.0000000000,0.1924305111,0.0794777125,0.1846064925,0.0062025734,0.0000000000,0.0000000000,0.0128128948,0.0122330906,0.0076434752,0.0091077229,0.0000000000,0.0077698152,0.0840482116,0.0896014497,0.0000000000,0.0000000000,0.0279446132,0.0317706577,0.0206841026,0.0265044328,0.0095838765,0.0107436031,0.0268475804,0.0119888317,0.0196968894,0.0177185852,0.0121236844,0.0114580132,0.0039548194,0.0045462972,0.0000000000,0.0000000000,0.0176599789,0.0000000000,0.0000000000,0.0051675546,0.0245174635,0.0268774871,0.0241210070,0.0310768522,0.0000000000,0.0957318470,0.0517084822,-0.1012250185,-0.0029570814,-0.1424250454,0.0023363405,-0.0053379573,-0.1424238980,-0.0076895063
20:08:30:21.517,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1934146285,0.0785488933,0.1846164912,0.0000000000,0.0000000000,0.0039751339,0.0000000000,0.1937814206,0.0785469264,0.1846192330,0.0063052746,0.0000000000,0.0000000000,0.0129109723,0.0122999866,0.0076310979,0.0090640727,0.0000000000,0.0073149591,0.0824247673,0.0875378177,0.0000000000,0.0000000000,0.0278832596,0.0316273049,0.0208723191,0.0265527647,0.0096105495,0.0107766930,0.0266492106,0.0118827391,0.0195593089,0.0175712537,0.0121302232,0.0114476113,0.0038596715,0.0044227848,0.0000000000,0.0000000000,0.0179891679,0.0000000000,0.0000000000,0.0052604326,0.0239675958,0.0262911338,0.0235850569,0.0304905456,0.0000000000,0.0959288850,0.0514675379,-0.1010681242,-0.0023342129,-0.1430136561,0.0022939751,-0.0047418773,-0.1430125386,-0.0077705821
20:08:30:22.518,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1944659650,0.0781072676,0.1870393008,0.0000000000,0.0000000000,0.0039007205,0.0000000000,0.1948347390,0.0781050846,0.1870410442,0.0064008501,0.0000000000,0.0000000000,0.0130119901,0.0123901041,0.0076214978,0.0090264948,0.0000000000,0.0069481726,0.0816862136,0.0866506398,0.0000000000,0.0000000000,0.0277694426,0.0314378031,0.0210531708,0.0266243778,0.0096263783,0.0107925786,0.0263784826,0.0117264669,0.0193674341,0.0173780639,0.0121544441,0.0114532337,0.0037710380,0.0043072598,0.0000000000,0.0000000000,0.0182237625,0.0000000000,0.0000000000,0.0053453827,0.0235007331,0.0258015171,0.0231061988,0.0299704373,0.0000000000,0.0963576511,0.0515571088,-0.1010619402,-0.0022893380,-0.1434732676,0.0022980038,-0.0046946555,-0.1434721202,-0.0077988058
20:08:30:23.520,61,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1956307590,0.0778990909,0.1891355813,0.0000000000,0.0000000000,0.0028019843,0.0000000000,0.1960100085,0.0778966174,0.1891365647,0.0064986488,0.0000000000,0.0000000000,0.0131149050,0.0124812955,0.0076109488,0.0089687835,0.0000000000,0.0065945587,0.0811086148,0.0859075114,0.0000000000,0.0000000000,0.0276379082,0.0312309023,0.0212144386,0.0266858246,0.0096437559,0.0108126905,0.0261010099,0.0115648406,0.0191790722,0.0171905626,0.0121757062,0.0114570381,0.0036860572,0.0041953875,0.0000000000,0.0000000000,0.0183209963,0.0000000000,0.0000000000,0.0054312609,0.0230712574,0.0253494494,0.0226558391,0.0294613745,0.0000000000,0.0963576511,0.0515571088,-0.1010619402,-0.0016359184,-0.1439852268,0.0022507082,-0.0040364079,-0.1439840347,-0.0078821229
